id,title,rating,review_count,review_url,address
0,Orlando Vineland Premium Outlets,4.5 of 5 bubbles,"5,795 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d252910-Reviews-Orlando_Vineland_Premium_Outlets-Orlando_Florida.html#REVIEWS,
1,Orlando Vineland Premium Outlets,4.5 of 5 bubbles,"5,795 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d252910-Reviews-Orlando_Vineland_Premium_Outlets-Orlando_Florida.html#REVIEWS,
2,Orlando International Premium Outlets,4.5 of 5 bubbles,"8,689 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1936511-Reviews-Orlando_International_Premium_Outlets-Orlando_Florida.html#REVIEWS,
3,Gray Line Orlando,4.5 of 5 bubbles,"2,561 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1770871-Reviews-Gray_Line_Orlando-Orlando_Florida.html#REVIEWS,
4,Access Line Transportation,4.5 of 5 bubbles,"1,386 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7987291-Reviews-Access_Line_Transportation-Orlando_Florida.html#REVIEWS,
5,Madame Tussauds Orlando,4.5 of 5 bubbles,"2,710 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7776663-Reviews-Madame_Tussauds_Orlando-Orlando_Florida.html#REVIEWS,
6,SEA LIFE Orlando Aquarium,4.5 of 5 bubbles,"2,341 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7776698-Reviews-SEA_LIFE_Orlando_Aquarium-Orlando_Florida.html#REVIEWS,
7,iFLY Indoor Skydiving - Orlando,4.5 of 5 bubbles,"2,039 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d557368-Reviews-IFLY_Indoor_Skydiving_Orlando-Orlando_Florida.html#REVIEWS,
8,International Drive,4.5 of 5 bubbles,"4,765 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d143441-Reviews-International_Drive-Orlando_Florida.html#REVIEWS,
9,Orlando Transfer LLC,4.5 of 5 bubbles,710 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8391562-Reviews-Orlando_Transfer_LLC-Orlando_Florida.html#REVIEWS,
10,The Wheel at ICON Park,4.5 of 5 bubbles,"4,431 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d17234162-Reviews-The_Wheel_at_ICON_Park-Orlando_Florida.html#REVIEWS,
11,Happy Shuttle Cancun,4.5 of 5 bubbles,"10,232 reviews",https://www.tripadvisor.com/Attraction_Review-g150807-d3665613-Reviews-Happy_Shuttle_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS,
12,"Basilica of the National Shrine of Mary, Queen of the Universe",4.5 of 5 bubbles,"1,548 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d143480-Reviews-Basilica_of_the_National_Shrine_of_Mary_Queen_of_the_Universe-Orlando_Florida.html#REVIEWS,
13,Lake Eola Park,4.5 of 5 bubbles,"1,806 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d292254-Reviews-Lake_Eola_Park-Orlando_Florida.html#REVIEWS,
14,The Escape Game Orlando,4.5 of 5 bubbles,"6,403 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7393648-Reviews-The_Escape_Game_Orlando-Orlando_Florida.html#REVIEWS,
15,Tuxedo Executive Limousine & Car Service,4.5 of 5 bubbles,744 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8423349-Reviews-Tuxedo_Executive_Limousine_Car_Service-Orlando_Florida.html#REVIEWS,
16,Travel Around Costa Rica Transportation and Guides,4.5 of 5 bubbles,115 reviews,https://www.tripadvisor.com/Attraction_Review-g309292-d2023531-Reviews-Travel_Around_Costa_Rica_Transportation_and_Guides-Escazu_San_Jose_Metro_Province.html#REVIEWS,
17,City Sightseeing Orlando,4.5 of 5 bubbles,"2,639 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1541172-Reviews-City_Sightseeing_Orlando-Orlando_Florida.html#REVIEWS,
18,Titanic: The Artifact Exhibition (Orlando),4.5 of 5 bubbles,"1,474 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d4546270-Reviews-Titanic_The_Artifact_Exhibition_Orlando-Orlando_Florida.html#REVIEWS,
19,Orlando Tree Trek Adventure Park,4.5 of 5 bubbles,871 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d7340552-Reviews-Orlando_Tree_Trek_Adventure_Park-Kissimmee_Florida.html#REVIEWS,
20,Devon Transportation,4.5 of 5 bubbles,509 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d10806491-Reviews-Devon_Transportation-Orlando_Florida.html#REVIEWS,
21,ChocoMuseo,4.5 of 5 bubbles,"2,408 reviews",https://www.tripadvisor.com/Attraction_Review-g295366-d2452009-Reviews-ChocoMuseo-Antigua_Sacatepequez_Department.html#REVIEWS,
22,Amway Center,4.5 of 5 bubbles,"2,448 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d2012159-Reviews-Amway_Center-Orlando_Florida.html#REVIEWS,
23,ICON Park,4.5 of 5 bubbles,"1,710 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d8051467-Reviews-ICON_Park-Orlando_Florida.html#REVIEWS,
24,Costa Rica Descents,4.5 of 5 bubbles,"2,100 reviews",https://www.tripadvisor.com/Attraction_Review-g309226-d1581007-Reviews-Costa_Rica_Descents-La_Fortuna_de_San_Carlos_Arenal_Volcano_National_Park_Provinc.html#REVIEWS,
25,Harry P. Leu Gardens,4.5 of 5 bubbles,"1,410 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d116401-Reviews-Harry_P_Leu_Gardens-Orlando_Florida.html#REVIEWS,
26,Orlando Princess & Canaveral Princess Deep Sea Fishing,4.5 of 5 bubbles,598 reviews,https://www.tripadvisor.com/Attraction_Review-g34574-d1450255-Reviews-Orlando_Princess_Canaveral_Princess_Deep_Sea_Fishing-Port_Canaveral_Brevard_County.html#REVIEWS,
27,Ripley's Believe It or Not! Orlando,4.5 of 5 bubbles,"1,847 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d124551-Reviews-Ripley_s_Believe_It_or_Not_Orlando-Orlando_Florida.html#REVIEWS,
28,Kaatz Witz Tours,4.5 of 5 bubbles,41 reviews,https://www.tripadvisor.com/Attraction_Review-g1632627-d8319371-Reviews-Kaatz_Witz_Tours-San_Jose_Succotz_Cayo.html#REVIEWS,
29,Showcase of Citrus,4.5 of 5 bubbles,"1,030 reviews",https://www.tripadvisor.com/Attraction_Review-g34142-d251379-Reviews-Showcase_of_Citrus-Clermont_Lake_County_Florida.html#REVIEWS,
30,SeaWorld,4.5 of 5 bubbles,"33,556 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d102412-Reviews-SeaWorld-Orlando_Florida.html#REVIEWS,
0,Discovery Cove,5 of 5 bubbles,"17,451 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d110173-Reviews-Discovery_Cove-Orlando_Florida.html#REVIEWS,
1,Discovery Cove,5 of 5 bubbles,"17,451 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d110173-Reviews-Discovery_Cove-Orlando_Florida.html#REVIEWS,
2,Universal's Islands of Adventure,5 of 5 bubbles,"52,038 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d258685-Reviews-Universal_s_Islands_of_Adventure-Orlando_Florida.html#REVIEWS,
3,Escapology,5 of 5 bubbles,"4,958 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7263745-Reviews-Escapology-Orlando_Florida.html#REVIEWS,
4,Fun Spot America,5 of 5 bubbles,"4,782 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d130856-Reviews-Fun_Spot_America-Orlando_Florida.html#REVIEWS,
5,Sleuths Mystery Dinner Shows,5 of 5 bubbles,"1,857 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d505392-Reviews-Sleuths_Mystery_Dinner_Shows-Orlando_Florida.html#REVIEWS,
6,The Mall at Millenia,5 of 5 bubbles,"2,392 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d260587-Reviews-The_Mall_at_Millenia-Orlando_Florida.html#REVIEWS,
7,Wild Willy's Airboat Tours,5 of 5 bubbles,"7,709 reviews",https://www.tripadvisor.com/Attraction_Review-g34601-d1489614-Reviews-Wild_Willy_s_Airboat_Tours-Saint_Cloud_Florida.html#REVIEWS,
8,The Wizarding World of Harry Potter,5 of 5 bubbles,"41,255 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter-Orlando_Florida.html#REVIEWS,
9,The Florida Mall,5 of 5 bubbles,"3,516 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d215984-Reviews-The_Florida_Mall-Orlando_Florida.html#REVIEWS,
10,Extreme Jet Ski of Orlando,5 of 5 bubbles,199 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d3850063-Reviews-Extreme_Jet_Ski_of_Orlando-Kissimmee_Florida.html#REVIEWS,
11,Orlando Column,5 of 5 bubbles,190 reviews,https://www.tripadvisor.com/Attraction_Review-g295371-d550754-Reviews-Orlando_Column-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html#REVIEWS,
12,Pirate's Cove Adventure Golf,5 of 5 bubbles,"1,595 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d592177-Reviews-Pirate_s_Cove_Adventure_Golf-Orlando_Florida.html#REVIEWS,
13,Universal Studios Florida,5 of 5 bubbles,"40,805 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d102432-Reviews-Universal_Studios_Florida-Orlando_Florida.html#REVIEWS,
14,Orlando Science Center,5 of 5 bubbles,853 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d130845-Reviews-Orlando_Science_Center-Orlando_Florida.html#REVIEWS,
15,Medieval Times Dinner & Tournament,5 of 5 bubbles,"3,413 reviews",https://www.tripadvisor.com/Attraction_Review-g34352-d143442-Reviews-Medieval_Times_Dinner_Tournament-Kissimmee_Florida.html#REVIEWS,
16,Fish Orlando Trophy Bass Guide Service,5 of 5 bubbles,314 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d5772684-Reviews-Fish_Orlando_Trophy_Bass_Guide_Service-Kissimmee_Florida.html#REVIEWS,
17,Teatro Martini,5 of 5 bubbles,948 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d1812734-Reviews-Teatro_Martini-Orlando_Florida.html#REVIEWS,
18,I-Ride Trolley Service,5 of 5 bubbles,"1,893 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d116399-Reviews-I_Ride_Trolley_Service-Orlando_Florida.html#REVIEWS,
19,Noble Jones Tours,5 of 5 bubbles,"1,595 reviews",https://www.tripadvisor.com/Attraction_Review-g60814-d3957942-Reviews-Noble_Jones_Tours-Savannah_Georgia.html#REVIEWS,
20,Universal CityWalk,5 of 5 bubbles,"4,636 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d637035-Reviews-Universal_CityWalk-Orlando_Florida.html#REVIEWS,
21,Universal's Volcano Bay,5 of 5 bubbles,"4,913 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d12476015-Reviews-Universal_s_Volcano_Bay-Orlando_Florida.html#REVIEWS,
22,Spirit of the Swamp Airboat Rides,5 of 5 bubbles,"2,896 reviews",https://www.tripadvisor.com/Attraction_Review-g34352-d1105578-Reviews-Spirit_of_the_Swamp_Airboat_Rides-Kissimmee_Florida.html#REVIEWS,
