id,title,rating,review_count,review_url,address
0,Discovery Cove,5 of 5 bubbles,"17,451 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d110173-Reviews-Discovery_Cove-Orlando_Florida.html#REVIEWS,"|||6000 Discovery Cove Way, Orlando"
1,Discovery Cove,5 of 5 bubbles,"17,451 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d110173-Reviews-Discovery_Cove-Orlando_Florida.html#REVIEWS,"|||6000 Discovery Cove Way, Orlando"
2,Universal's Islands of Adventure,5 of 5 bubbles,"52,038 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d258685-Reviews-Universal_s_Islands_of_Adventure-Orlando_Florida.html#REVIEWS,"|||6000 Universal Blvd, Orlando"
3,Escapology,5 of 5 bubbles,"4,958 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d7263745-Reviews-Escapology-Orlando_Florida.html#REVIEWS,"|||11951 International Dr, Orlando"
4,Fun Spot America,5 of 5 bubbles,"4,782 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d130856-Reviews-Fun_Spot_America-Orlando_Florida.html#REVIEWS,"|||5700 Fun Spot Way, Orlando"
5,Sleuths Mystery Dinner Shows,5 of 5 bubbles,"1,857 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d505392-Reviews-Sleuths_Mystery_Dinner_Shows-Orlando_Florida.html#REVIEWS,"|||8267 International Dr, Orlando"
6,The Mall at Millenia,5 of 5 bubbles,"2,392 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d260587-Reviews-The_Mall_at_Millenia-Orlando_Florida.html#REVIEWS,"|||4200 Conroy Rd, Orlando"
7,Wild Willy's Airboat Tours,5 of 5 bubbles,"7,709 reviews",https://www.tripadvisor.com/Attraction_Review-g34601-d1489614-Reviews-Wild_Willy_s_Airboat_Tours-Saint_Cloud_Florida.html#REVIEWS,"|||4715 Kissimmee Park Road, Saint Cloud"
8,The Wizarding World of Harry Potter,5 of 5 bubbles,"41,255 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter-Orlando_Florida.html#REVIEWS,"|||6000 Universal Boulevard, Orlando"
9,The Florida Mall,5 of 5 bubbles,"3,516 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d215984-Reviews-The_Florida_Mall-Orlando_Florida.html#REVIEWS,"|||8001 S Orange Blossom Trl, Orlando"
