id,price,address,links
0,"$1,574+ 1 bd","Arbor Glen Apartments | 4950 Deep Forest Ct, Lakeland, FL",https://www.zillow.com/b/arbor-glen-apartments-lakeland-fl-5Xhyyb/
1,"$1,606+ 1 bd","Century Ariva | 5190 Ariva Blvd, Lakeland, FL",https://www.zillow.com/b/arbor-glen-apartments-lakeland-fl-5Xhyyb/
2,"$1,601+ 1 bd","Century Avenues | 6720 S Florida Ave S, Lakeland, FL",https://www.zillow.com/b/century-ariva-lakeland-fl-BP8pH7/
3,"$1,470+ 1 bd","Village at Lake Highland | 2150 Lake Highland Blvd, Lakeland, FL",https://www.zillow.com/b/century-ariva-lakeland-fl-BP8pH7/
4,"$1,481+ Studio","Mirrorton Apartments | 309 Mirrorton Ave, Lakeland, FL",https://www.zillow.com/b/century-avenues-lakeland-fl-C2DxKM/
5,"$1,801+ 1 bd","Town Center At Lakeside Village | 1555 Village Center Dr, Lakeland, FL",https://www.zillow.com/b/century-avenues-lakeland-fl-C2DxKM/
6,"$1,550+ 2 bds","Waters Edge | 3625 New Jersey Rd, Lakeland, FL",https://www.zillow.com/b/village-at-lake-highland-lakeland-fl-5XhzHF/
7,"$1,388+ 1 bd","Watermarc | 400 W Beacon Rd, Lakeland, FL",https://www.zillow.com/b/village-at-lake-highland-lakeland-fl-5XhzHF/
8,"$1,394+ 1 bd","The Preserve at Lakeland Hills Apartments | 4920 State Road 33 N, Lakeland, FL",https://www.zillow.com/b/mirrorton-apartments-lakeland-fl-BtCS4w/
0,"$1,795/mo","2307 Freemason St, Lakeland, FL 33801",https://www.zillow.com/homedetails/2307-Freemason-St-Lakeland-FL-33801/47375280_zpid/
1,"$2,260/mo","3549 Kenwood Xing, Lakeland, FL 33812",https://www.zillow.com/homedetails/2307-Freemason-St-Lakeland-FL-33801/47375280_zpid/
2,"$1,495/mo","5131 Old Highway 37 FLOOR 5131, Lakeland, FL 33811",https://www.zillow.com/homedetails/3549-Kenwood-Xing-Lakeland-FL-33812/123612299_zpid/
3,"$1,999/mo","1339 Primrose Ct, Lakeland, FL 33811",https://www.zillow.com/homedetails/3549-Kenwood-Xing-Lakeland-FL-33812/123612299_zpid/
4,"$2,110/mo","5242 Saint Lucia Dr, Lakeland, FL 33812",https://www.zillow.com/homedetails/5131-Old-Highway-37-FLOOR-5131-Lakeland-FL-33811/2060797876_zpid/
5,"$2,025/mo","2413 Timbercreek Loop E, Lakeland, FL 33805",https://www.zillow.com/homedetails/5131-Old-Highway-37-FLOOR-5131-Lakeland-FL-33811/2060797876_zpid/
6,"$2,180/mo","3075 Sire Trl, Lakeland, FL 33811",https://www.zillow.com/homedetails/1339-Primrose-Ct-Lakeland-FL-33811/55125750_zpid/
7,"$1,295/mo","1623 Goodyear Ave #2, Lakeland, FL 33801",https://www.zillow.com/homedetails/1339-Primrose-Ct-Lakeland-FL-33811/55125750_zpid/
8,"$1,999/mo","2830 Timbercrest Pl, Lakeland, FL 33810",https://www.zillow.com/homedetails/5242-Saint-Lucia-Dr-Lakeland-FL-33812/47332415_zpid/
0,"$2,145/mo","8886 Pebblebrooke Dr, Lakeland, FL 33810",https://www.zillow.com/homedetails/8886-Pebblebrooke-Dr-Lakeland-FL-33810/81468456_zpid/
1,"$2,120/mo","5136 Bonnybrook Dr W, Lakeland, FL 33811",https://www.zillow.com/homedetails/8886-Pebblebrooke-Dr-Lakeland-FL-33810/81468456_zpid/
2,"$1,985/mo","3350 Merlot Dr, Lakeland, FL 33811",https://www.zillow.com/homedetails/5136-Bonnybrook-Dr-W-Lakeland-FL-33811/55124283_zpid/
3,"$1,999/mo","836 Krenson Woods Ln, Lakeland, FL 33813",https://www.zillow.com/homedetails/5136-Bonnybrook-Dr-W-Lakeland-FL-33811/55124283_zpid/
4,"$2,318/mo","3690 Joshua Ln, Lakeland, FL 33813",https://www.zillow.com/homedetails/3350-Merlot-Dr-Lakeland-FL-33811/66201432_zpid/
5,"$2,019+ 3 bds","4450 Creek Ct, Lakeland, FL",https://www.zillow.com/homedetails/3350-Merlot-Dr-Lakeland-FL-33811/66201432_zpid/
6,"$2,175/mo","3633 Amber Ln, Lakeland, FL 33813",https://www.zillow.com/homedetails/836-Krenson-Woods-Ln-Lakeland-FL-33813/121054198_zpid/
7,"$1,995/mo","1408 Unitah Ave, Lakeland, FL 33803",https://www.zillow.com/homedetails/836-Krenson-Woods-Ln-Lakeland-FL-33813/121054198_zpid/
